대여소_구,대여소명,설치일자
강남구,2301. 현대고등학교 건너편,2017-06-13 9:19
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),2017-06-13 10:32
강남구,2303. 논현역 7번출구,2017-06-13 10:33
강남구,2304. 신영 ROYAL PALACE 앞,2017-06-13 10:36
강남구,2305. MCM 본사 직영점 앞,2017-06-13 10:37
강남구,2306. 압구정역 2번 출구 옆,2017-06-13 10:38
강남구,2307. 압구정 한양 3차 아파트,2017-06-13 10:40
강남구,2308. 압구정파출소 앞,2017-06-13 10:41
강남구,2309. 청담역(우리들병원 앞),2017-06-13 9:42
강남구,2310. 청담동 맥도날드 옆(위치),2017-06-13 10:42
강남구,2311. 학동로 래미안 아파트 앞,2017-06-13 9:46
강남구,2312. 청담역 13번 출구 앞,2017-06-13 10:44
강남구,2313. 금원빌딩 앞,2017-06-13 10:45
강남구,2314. 청담나들목입구,2017-06-13 10:57
강남구,2315. 봉은사역 5번출구 옆,2017-06-13 10:58
강남구,2316. 삼성역 8번출구,2017-06-13 10:59
강남구,2317. 삼성도로공원,2017-06-13 9:43
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),2017-06-13 14:25
강남구,2319. 포스코4거리 서측(수협 삼성동 지점),2017-06-13 14:26
강남구,2320. 도곡역 대치지구대 방향,2017-06-13 14:27
강남구,2321. 학여울역 사거리,2017-06-13 14:28
강남구,2322. 삼성역 3번 출구,2017-06-13 14:39
강남구,2323. 주식회사 오뚜기 정문 앞,2017-06-13 14:53
강남구,2324. 천주교 대치 2동 교회 옆,2017-06-13 14:55
강남구,2325. 대치동 버거킹대치점,2017-06-13 14:56
강남구,2326. 대치동 삼성로,2017-06-13 14:58
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,2017-06-13 15:00
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,2017-06-13 15:04
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,2017-06-13 15:21
강남구,2330. 스타벅스 앞,2017-06-13 15:22
강남구,2331. 동영문화센터앞,2017-06-13 15:24
강남구,2332. 선릉역3번출구,2017-06-13 15:24
강남구,2333. 양재역 3번출구 주변,2017-06-13 15:27
강남구,2334. 8.삼호@ 2동 ( 간선도로),2017-06-13 15:59
강남구,2335. 3호선 매봉역 3번출구앞,2017-06-13 16:01
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,2017-06-13 16:02
강남구,2337. 대모산입구역 2번출구 앞,2017-06-13 9:38
강남구,2339. 현대아파트 정문 앞,2017-06-13 16:04
강남구,2340. 삼호물산버스정류장(23370) 옆,2017-06-13 16:05
강남구,2341. 일원역 4~5번 출구 사이,2017-06-13 16:07
강남구,2342. 대청역 1번출구  뒤,2017-06-13 16:08
강남구,2343. 세곡사거리 대왕파출소 앞,2017-06-13 9:22
강남구,2344. 리엔파크 2단지 앞,2017-06-13 9:23
강남구,2347. 두산건설 본사,2017-08-22 10:45
강남구,2348. 포스코사거리(기업은행),2017-06-13 10:49
강남구,2349. 역삼빌딩 앞(하나은행 옆),2017-08-21 19:12
강남구,2350. 래미안그레이튼102동앞,2017-08-21 19:38
강남구,2351. 청소년수련관(수영장)앞,2017-08-01 12:04
강남구,2352. 서울본부세관(건설회관 앞),2017-08-22 10:49
강남구,2353. 강남구청역 2번출구 뒤,2017-08-22 10:51
강남구,2354. 청담역 2번출구,2017-08-21 14:47
강남구,2355. 삼성역 5~6번 출구 사이,2017-08-21 14:51
강남구,2356. 강남구청,2017-08-21 14:49
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),2017-08-25 15:54
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),2017-08-21 14:57
강남구,"2359. 국립국악중,고교 정문 맞은편",2017-08-21 15:00
강남구,2360. 도곡1동 주민센터 교차로,2017-08-21 14:54
강남구,2361. 압구정역 교차로,2017-11-01 16:00
강남구,2362. 신사동 가로수길 입구,2017-11-01 16:00
강남구,2363. 강남 을지병원 교차로,2017-11-01 16:00
강남구,2364. 도산대로 렉서스 앞,2017-11-01 16:00
강남구,2365. K+ 타워 앞,2017-11-01 16:00
강남구,2368. 도곡동 경남아파트 건너편,2017-11-01 16:00
강남구,2369. KT선릉타워,2017-11-01 16:00
강남구,2370. 한티역 3번출구,2017-11-01 16:00
강남구,2371. 한국우편사업진흥원,2017-11-01 16:00
강남구,2372. 대치역 사거리,2017-11-01 16:00
강남구,2373. 개포동역 사거리,2017-11-01 16:00
강남구,2375. 수서역 1번출구 앞,2017-11-01 16:00
강남구,2376. 수서역 6번출구 앞,2017-11-01 16:00
강남구,2377. 수서역 5번출구 뒤,2017-11-01 16:00
강남구,2380. 삼성동베이직하우스앞,2017-11-28 9:37
강남구,2381. 언주역 6번출구앞,2017-11-28 9:38
강남구,2382. 역삼동 sk뷰 501동앞,2017-11-28 9:38
강남구,2383. 보금자리정원,2017-11-28 9:40
강남구,2384. 자곡사거리,2017-12-22 14:46
강남구,2385. 학동역,2017-12-22 14:46
강남구,2387. 래미안강남힐즈 사거리,2018-02-26 11:47
강남구,강남구 도시관리공단,2018.7.4개통
강남구,경기여자고등학교 후문 (삼성로3길 입구),2018.11.04
강남구,구룡마을 입구(래미안블레스티지 아파트),2018.10.08
강남구,구룡마을 입구(개포1단지아파트),2018.10.08
강남구,구룡산 입구(구룡산 서울둘레길 입구),2018.10.08
강남구,구룡사 앞 교차로 (보도육교),2018.10.08
강남구,래미안강남포레스트 입구(보도육교),2018.11.04
강남구,개포1단지아파트 입구(보도육교),2018.10.08
강남구,영동3교 북단(우성캐릭터 앞 보도),2018.10.08
강남구,더라움,2018.10.30
강남구,밀알학교 입구 (삼성서울병원 입구),2018.09.14
강남구,공무원연금매점 교차로(개포주공9단지 입구),2018.10.08
강남구,대모산입구역 4번 출구 앞,2018.10.08
강남구,청담공원앞 교차로,2018.10.08
강남구,논현동 광명빌딩 앞,2018.11.04
강남구,역삼.서초.삼성 세무서 앞(역삼빌딩 앞),2018.09.18
강남구,강남한양수자인아파트,2018.10.02
강남구, 역삼동 디오슈페리움 (우성아파트 사거리),2018.11.14
강남구,포스코피앤에스타워 (역삼역 3번출구 부근),2018.11.14
강남구, 세곡동 성당,2019.02.25
강남구,일원1동 주민센터,2018.11.14
강동구,1001. 광진교 남단 사거리(디지털프라자앞),2017-04-19 10:11
강동구,1002. 해공공원(천호동),2017-04-19 14:00
강동구,1003. 해공도서관앞,2017-04-19 14:16
강동구,1004. 삼성광나루아파트 버스정류장,2017-04-19 14:39
강동구,1006. 롯데캐슬 115동앞,2017-04-19 14:43
강동구,1007.암사동 선사유적지,2017-04-19 14:43
강동구,1008. 암사역 3번출구(국민은행앞),2017-04-19 14:44
강동구,1009. 천호역4번출구(현대백화점),2017-04-19 14:46
강동구,1010. 강동세무서,2017-04-19 14:47
강동구,1011. LIGA 아파트 앞,2017-04-19 14:48
강동구,1012. 서울 상운차량,2017-04-19 14:50
강동구,1013. 강동구청역 1번 출입구,2017-04-19 14:51
강동구,1014. 강동구평생학습관앞,2017-04-19 14:52
강동구,1015. 샛마을 근린공원,2017-04-19 14:59
강동구,1016. 해뜨는 주유소옆 리엔파크 109동앞,2017-04-19 15:00
강동구,1017. 맥도날드(길동),2017-04-19 15:02
강동구,1018. 둔촌 주공 GS 맞은편,2017-06-22 10:08
강동구,1019. 다성이즈빌아파트(호원대 대각선 맞은편),2017-04-19 15:03
강동구,1020. 강동경찰서,2017-04-19 15:04
강동구,1021. 강일동 리슈빌 빌딩앞,2017-04-19 15:05
강동구,1022. 길동 사거리(초소앞),2017-04-19 15:06
강동구,1023. 한국종합기술사옥 앞,2017-11-01 16:00
강동구,1024.  강동구청 앞,2017-11-01 16:00
강동구,1025. 상일초등학교,2017-11-01 16:00
강동구,1026. 대명초교 입구 교차로,2017-11-01 16:00
강동구,1027. 프라자 아파트 앞,2017-11-01 16:00
강동구,1028. 포레스 주상복합 빌딩,2017-11-01 16:00
강동구,1029. 롯데 시네마,2017-11-01 16:00
강동구,1030. 미호 플랜트 앞,2017-11-01 16:00
강동구,1031. 암사동 CBIS,2017-11-01 16:00
강동구,1032. 선사고등학교,2017-11-01 16:00
강동구,1033. 고덕동 아남아파트,2017-11-01 16:00
강동구,1034. 고덕동 래미안 힐스테이트,2017-11-01 16:00
강동구,1035. 고덕역 4번출구,2017-11-01 16:00
강동구,1036. 고덕동 주양쇼핑,2017-11-01 16:00
강동구,1037. 강일 6단지,2017-11-01 16:00
강동구,1038. 강일 다솜 어린이 공원,2017-11-01 16:00
강동구,1039. 고덕초등학교,2017-11-01 16:00
강동구,1041. 묘곡초등학교,2017-11-01 16:00
강동구,1042. 강일 2.5단지 사이,2017-11-01 16:00
강동구,1044. 굽은다리역,2017-11-01 16:00
강동구,1047. 건강보험 강동지사kt,2018-01-16 14:01
강동구,1048. 동부기업(둔촌동),2018-01-16 14:04
강동구,1049. 강일동 10단지 아파트,2018-01-16 14:05
강동구,1050.  둔촌역 3번 출입구,2018-02-26 12:03
강동구,1051. 양지시장 (용성약국앞) 입구,2018-02-26 12:05
강동구,리싸이클시티,2018.09.03
강동구,동명근린공원 진입로 (아리수로),2018.09.03
강동구,말우물 어린이 공원,2018.09.03
강동구,강일리엔파크 7~11단지,2018.09.07
강동구,능골근린공원,2018.09.10
강동구,고덕숲 아이파크 1,2018.09.10
강동구,레미안 강동팰리스(102동),2018.10.25
강동구,천일초교 사거리,2018.09.11
강동구,천호초교 입구 사거리(일주빌딩),2018.09.10
강동구,고덕숲 아이파크 2,2018.09.10
강동구,서원마을,2018.11.14
강북구,"1501. 미아역 3번,4번 출구 사이",2017-08-03 15:47
강북구,1503. 이디야 커피 수유역점 앞,2017-05-11 9:22
강북구,1504. 다이소 삼양시장점,2017-05-11 9:24
강북구,1506. 강북문화예술회관,2017-05-11 9:26
강북구,1509. 서울북부수도사업소,2017-06-22 10:41
강북구,1510. 번동주공5단지 관리사무소 앞,2017-06-22 13:16
강북구,1511. 번동 금호어울림아파트102동앞,2017-06-22 13:16
강북구,1512. 강북중학교 앞,2017-06-22 13:17
강북구,1513. 강북구청 뒷편,2017-06-22 13:18
강북구,1514. 강북구청 사거리 버스정류소 앞,2017-05-11 9:29
강북구,1515. 송천동 주민센터,2017-05-11 9:31
강북구,1516. 우이초등학교 후문 옆,2017-05-11 9:35
강북구,1518. SK telecom(수유직영점) 앞,2017-05-11 9:37
강북구,1519. 세븐일레븐 수유장미원점 앞,2017-05-11 9:33
강북구,1520. 성실교회,2017-05-11 9:32
강북구,1522. 월드전기조명인테리어(우이동),2017-06-22 13:19
강북구,1525. 미아동 복합청사,2017-05-11 9:30
강북구,1526. 수유동 채선당앞,2017-11-01 16:00
강북구,1527. 미아역 1번 출구 뒤,2017-11-01 16:00
강북구,1528. 삼각산동 주민센터,2017-11-01 16:00
강북구,1529. 미아동 한국전력공사,2017-11-01 16:00
강북구,1530. 광산사거리,2017-11-01 16:00
강북구,1531. 미아사거리 1번 출구,2017-11-01 16:00
강북구,1532. 번3동 주민센터 교차로,2017-11-01 16:00
강북구,"1533. 번동 주공3, 4단지 교차로",2017-11-01 16:00
강북구,1534. 북서울 꿈의 숲 동문,2017-11-01 16:00
강북구,1535. 효성인텔리안 앞,2017-11-01 16:00
강북구,1536. 번동 두산위브 101동 옆,2017-11-01 16:00
강북구,1537. 북한산 우이역,2018-02-26 11:20
강북구,1538. 솔밭공원역,2018-02-26 11:21
강북구,1539. 4.19민주묘지역,2018-02-26 11:22
강북구,1540. 가오리역,2018-02-26 11:23
강북구,1541. 삼양역,2018-02-26 11:26
강북구,1542. 삼양사거리역,2018-02-26 11:27
강북구,1543. 수유1동 주민센터,2018-02-26 12:06
강북구,솔샘역2번출구,2018.07.27
강북구,송천동우체국,2018.10.25
강북구,꿈의숲 롯데캐슬,2018.12.14
강북구,북서울 꿈의숲 서문,2018.12.14
강서구,1101. 개화동상사마을종점 버스정류장,2017-04-24 9:24
강서구,1102. 방화사거리 마을버스 버스정류장,2017-04-24 9:26
강서구,1103. 방화역 4번출구앞,2017-06-22 10:10
강서구,1105. 방화근린공원,2017-04-24 9:32
강서구,1106. 신방화사거리,2017-06-20 10:00
강서구,1108. 공항시장역 1번출구,2017-04-24 9:34
강서구,1109. 공항시장역 4번출구,2017-04-24 9:34
강서구,1110. 공항중학교앞,2017-06-20 10:22
강서구,1111. 마곡엠밸리6_7단지 마곡중학교,2017-04-24 9:36
강서구,1112. 마곡엠밸리4단지 정문,2017-04-24 9:36
강서구,1113. 서남환경공원 버스정류장,2017-04-24 9:38
강서구,1114. 서남물재생센터 버스정류장,2017-04-24 9:41
강서구,1115. 등촌역 1번출구옆,2017-06-22 10:13
